asymmetry,concentration,gini,gini_m20_bulge,intensity,m20,multimode,smoothness
0.0822913646697998,3.4057443141937256,0.5902056097984314,0.4048917591571808,0.03422378748655319,-2.0827908515930176,0.02034776099026203,0.012655687518417835
0.11401744186878204,2.340130090713501,0.4229503571987152,-0.7192389369010925,0.002325027948245406,-1.6553490161895752,0.0091116176918149,0.006099256221204996
0.08832195401191711,2.43007230758667,0.4426257908344269,-0.588066041469574,0.0,-1.7040927410125732,0.003144653979688883,0.0003466041525825858
0.03316397964954376,3.5142662525177,0.583756685256958,0.3707689642906189,0.004102516453713179,-2.0796151161193848,0.005836575757712126,0.026442257687449455
0.005205954425036907,3.871285915374756,0.6066389679908752,0.5546226501464844,0.013293434865772724,-2.181471586227417,0.004930966533720493,-0.0031824447214603424
0.11752830445766449,2.446260452270508,0.46542075276374817,-0.6309598684310913,0.1598719209432602,-1.4793758392333984,0.10169491171836853,-0.01766885071992874
0.009234276600182056,2.725058078765869,0.4863218069076538,-0.36882713437080383,0.0,-1.7083405256271362,0.004385964944958687,0.0030320731457322836
0.01890522614121437,2.870753765106201,0.4374829828739166,-0.5660336017608643,0.0,-1.7726199626922607,0.006802720949053764,0.00487807160243392
0.017261724919080734,2.612436056137085,0.4937981963157654,-0.3835165798664093,0.10353463888168335,-1.633740782737732,0.05092592537403107,-0.0130296740680933
0.5361070036888123,1.3844654560089111,0.6270573139190674,-0.4078928232192993,0.41059088706970215,-0.6467151045799255,0.5833962559700012,0.18349982798099518
0.0782788023352623,2.5681753158569336,0.4662645161151886,-0.48862478137016296,0.0,-1.6787385940551758,0.0,0.0687374398112297
0.02721051499247551,3.4767770767211914,0.6075026988983154,0.4994073510169983,0.0,-2.09562611579895,0.005847953259944916,-0.0027009453624486923
0.052965447306632996,2.693270444869995,0.44424495100975037,-0.5313332676887512,0.0,-1.7743929624557495,0.001805054140277207,0.03586606681346893
0.012957734055817127,2.624734401702881,0.4757254123687744,-0.37436574697494507,0.0,-1.7760367393493652,0.005791505798697472,0.005492770578712225
0.04350518062710762,2.6239137649536133,0.4839201271533966,-0.4075168967247009,0.0,-1.6696659326553345,0.002481389557942748,0.02391505241394043
0.10475345700979233,2.3738131523132324,0.42701995372772217,-0.7595114707946777,0.0,-1.5681672096252441,0.0031201248057186604,0.043032094836235046
0.2722983956336975,2.8273675441741943,0.4836483299732208,-0.3345775902271271,0.3670180141925812,-1.7768588066101074,0.02222716249525547,0.024741144850850105
0.02998543716967106,3.6329705715179443,0.5809213519096375,0.3632359802722931,0.0,-2.0889973640441895,0.001038421643897891,0.02629820816218853
0.022771120071411133,3.963857650756836,0.5681239366531372,0.4535524249076843,0.012491604313254356,-2.310734510421753,0.001971900463104248,0.0074271466583013535
0.017854848876595497,2.5156924724578857,0.4565490484237671,-0.5698956251144409,0.0,-1.6308609247207642,0.0077821011655032635,0.03686663880944252
0.04365849494934082,2.6001741886138916,0.7564230561256409,0.611417293548584,0.7031258940696716,-1.1935398578643799,0.007485029753297567,-0.0845358595252037
0.1260325014591217,2.575165033340454,0.4420944154262543,-0.5284808874130249,0.16812348365783691,-1.7938697338104248,0.04214559495449066,0.01763172633945942
0.05638465657830238,2.5245957374572754,0.45652851462364197,-0.5787373185157776,0.0,-1.6182490587234497,0.007835455238819122,0.0012447434710338712
0.18466536700725555,2.811953067779541,0.49214646220207214,-0.28164711594581604,0.03662852570414543,-1.7925366163253784,0.01684981770813465,0.01720423251390457
0.024502838030457497,2.78336238861084,0.4822677969932556,-0.3750828802585602,0.0,-1.7282706499099731,0.0,0.006690787151455879
0.061581745743751526,2.609748363494873,0.4668905735015869,-0.46235358715057373,0.10982966423034668,-1.7121760845184326,0.03202847018837929,0.011041651479899883
0.03373474255204201,3.9311881065368652,0.5594083666801453,0.41884666681289673,0.004422627389431,-2.3229079246520996,0.010943396016955376,-0.001250461325980723
0.01914118602871895,2.564842462539673,0.46582019329071045,-0.49276840686798096,0.0,-1.6759330034255981,0.00800000037997961,-0.007079745642840862
0.014195154421031475,3.630289316177368,0.5735062956809998,0.33616903424263,0.0,-2.1029045581817627,0.0018939394503831863,0.024537846446037292
0.09861881285905838,2.422804832458496,0.4513493776321411,-0.6418941020965576,0.0,-1.5641074180603027,0.005434782709926367,0.05335879325866699
0.009081645868718624,2.6580569744110107,0.47781333327293396,-0.46863120794296265,0.0,-1.6250978708267212,0.0,0.06911976635456085
0.07232942432165146,2.786804437637329,0.4812276363372803,-0.34223076701164246,0.0,-1.7831059694290161,0.0018018018454313278,0.03795303776860237
0.04156488552689552,3.671354055404663,0.5562352538108826,0.2623879909515381,0.0,-2.119802951812744,0.004656577482819557,-0.0025185486301779747
0.06469376385211945,2.7600135803222656,0.46074676513671875,-0.5217763185501099,0.0,-1.6703134775161743,0.0022727272007614374,0.05180374160408974
0.07988597452640533,2.457400321960449,0.4586094617843628,-0.6267645955085754,0.1675366461277008,-1.5340815782546997,0.04262877628207207,0.03110107034444809
0.0229976586997509,2.5090765953063965,0.457109659910202,-0.6001850366592407,0.0035278042778372765,-1.5831488370895386,0.008064515888690948,0.024624019861221313
0.019661659374833107,3.579845905303955,0.5736406445503235,0.32924067974090576,0.0,-2.091947078704834,0.002577319508418441,0.024838130921125412
0.16946671903133392,2.7998640537261963,0.49619802832603455,-0.3976348042488098,0.0,-1.596226453781128,0.050847455859184265,-0.0064707789570093155
0.2005770057439804,2.3087167739868164,0.44250404834747314,-0.8088277578353882,0.03643200173974037,-1.3864028453826904,0.0833333358168602,0.0325697585940361
0.08236309885978699,2.6457223892211914,0.4746207594871521,-0.41826939582824707,0.0,-1.720574140548706,0.0181818176060915,0.06216719374060631
0.07087264955043793,2.732217311859131,0.4666537344455719,-0.4818097651004791,0.06062712147831917,-1.6857925653457642,0.007130124606192112,0.006856199353933334
0.07120143622159958,2.535916805267334,0.4698471128940582,-0.4853958189487457,0.034800197929143906,-1.6578079462051392,0.036565978080034256,0.00816235039383173
0.0010558579815551639,3.686849594116211,0.5636255741119385,0.3074221909046173,0.0,-2.1319994926452637,0.00396376010030508,-0.004921398591250181
0.022888312116265297,2.5188817977905273,0.49745243787765503,-0.4050918519496918,0.015039400197565556,-1.5765057802200317,0.024793388321995735,-0.014134966768324375
0.13789679110050201,2.615537405014038,0.4715588688850403,-0.39875519275665283,0.17291414737701416,-1.7706036567687988,0.009535918943583965,0.005519593134522438
0.07336955517530441,2.687687397003174,0.4974845349788666,-0.3497079312801361,0.0,-1.6561956405639648,0.0045045046135783195,0.052602026611566544
0.08233242481946945,2.3360862731933594,0.4147365689277649,-0.853924036026001,0.08347640931606293,-1.5196681022644043,0.010600706562399864,-0.0010220614494755864
0.16952340304851532,4.119431972503662,0.5852332711219788,0.51279616355896,0.009142336435616016,-2.2740137577056885,0.004144791513681412,0.004935203120112419
0.010935940779745579,3.743509292602539,0.5633581876754761,0.33193323016166687,0.0,-2.169278621673584,0.0010570824379101396,0.01908726617693901
0.017610929906368256,4.3543195724487305,0.5881535410881042,0.6745420098304749,0.004945097956806421,-2.486553907394409,0.0010957702761515975,-0.002894076518714428
0.005742782261222601,2.4610817432403564,0.46125006675720215,-0.5407044291496277,0.0,-1.6394051313400269,0.005586592014878988,0.04841263219714165
0.028353584930300713,2.9099624156951904,0.4683534502983093,-0.47196170687675476,0.1324106901884079,-1.687862515449524,0.05937499925494194,-0.0025428910739719868
