,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
0,10.803,0.07791,17.24,16.34,-20.79,-21.55,4.09,0.22,0.52,0.76
1,10.891,0.06322,16.64,15.75,-20.88,-21.64,2.72,0.28,0.38,0.76
2,11.72,0.17831,17.82,16.75,-22.45,-23.31,8.0,0.19,0.43,0.86
3,10.836,0.08196,16.62,16.06,-21.43,-21.9,2.48,0.02,0.32,0.47
4,11.124,0.10007,17.35,16.35,-21.36,-22.13,7.99,0.29,0.74,0.77
5,10.687,0.07056,17.13,16.26,-20.64,-21.38,3.83,0.61,0.95,0.74
6,11.085,0.0997,17.54,16.53,-21.15,-21.96,2.88,0.11,0.46,0.81
7,11.075,0.07595,16.42,15.53,-21.56,-22.28,4.49,0.16,0.57,0.72
8,10.845,0.07561,17.41,16.43,-20.56,-21.38,2.37,0.75,0.45,0.82
9,10.587,0.07964,17.35,16.7,-20.64,-21.19,0.74,0.62,0.5,0.55
10,10.849,0.08939,17.65,16.69,-20.73,-21.51,6.03,0.23,0.89,0.78
11,10.003,0.07011,16.8,16.5,-20.83,-21.1,1.89,0.23,0.63,0.27
12,11.596,0.15806,17.62,16.49,-22.44,-23.17,6.63,0.13,0.54,0.73
13,10.758,0.06995,16.34,15.74,-21.36,-21.89,1.15,0.34,0.13,0.53
14,11.117,0.12221,17.86,16.8,-21.43,-22.22,3.76,0.28,0.99,0.79
15,10.844,0.0849,17.02,16.4,-21.16,-21.69,3.86,0.38,0.57,0.53
16,11.375,0.13273,17.52,16.52,-21.97,-22.69,4.67,0.15,0.32,0.72
17,10.655,0.06639,17.1,16.22,-20.55,-21.29,5.19,0.17,1.0,0.74
18,10.454,0.07237,17.03,16.45,-20.75,-21.24,0.96,0.66,0.03,0.49
19,10.609,0.07228,17.58,16.75,-20.26,-20.98,2.44,0.76,0.62,0.72
20,10.934,0.11459,17.76,16.95,-21.24,-21.86,4.39,0.48,0.83,0.62
21,10.711,0.08038,17.0,16.35,-21.03,-21.6,1.75,0.16,0.34,0.57
22,10.795,0.07271,16.59,15.94,-21.2,-21.76,1.25,0.41,0.09,0.56
23,11.161,0.11538,17.37,16.35,-21.73,-22.5,5.9,0.18,0.99,0.77
24,11.01,0.08046,16.76,15.85,-21.38,-22.11,3.26,0.42,0.47,0.73
25,9.961,0.0715,17.42,16.97,-20.29,-20.7,0.97,0.17,0.06,0.41
26,10.663,0.0806,17.8,16.91,-20.32,-21.05,3.31,0.48,0.62,0.73
27,10.804,0.09201,17.61,16.67,-20.87,-21.61,4.73,0.14,0.9,0.74
28,10.636,0.07196,17.45,16.55,-20.39,-21.14,2.26,0.16,0.37,0.75
29,11.048,0.09155,17.5,16.53,-20.97,-21.73,4.75,0.2,0.52,0.76
30,10.856,0.08091,16.28,15.69,-21.77,-22.25,2.13,0.27,0.17,0.48
31,11.673,0.18701,18.17,16.88,-22.42,-23.23,6.83,0.21,0.6,0.81
32,11.466,0.13535,17.33,16.23,-22.24,-23.01,4.31,0.08,0.77,0.77
33,11.677,0.13532,16.92,15.81,-22.66,-23.44,4.82,0.26,0.49,0.78
34,10.931,0.07161,16.81,15.95,-21.05,-21.76,2.14,0.67,0.22,0.71
35,10.636,0.07026,17.24,16.43,-20.53,-21.22,0.96,0.68,0.14,0.69
36,10.868,0.07207,17.13,16.28,-20.76,-21.45,3.0,0.32,0.82,0.69
37,11.514,0.17113,17.85,16.64,-22.49,-23.25,2.35,0.3,0.71,0.76
38,10.928,0.08847,17.29,16.37,-21.11,-21.85,4.73,0.65,0.9,0.74
39,11.271,0.12897,17.05,16.26,-22.26,-22.84,1.95,0.46,0.3,0.58
40,9.877,0.06791,17.33,16.92,-20.31,-20.65,1.17,0.35,0.08,0.34
41,10.532,0.04743,16.74,15.86,-20.1,-20.87,4.88,0.11,0.79,0.77
42,10.436,0.10963,17.58,17.0,-21.2,-21.67,0.91,0.09,0.04,0.47
43,10.047,0.02338,15.61,14.91,-19.57,-20.21,1.36,0.85,0.12,0.64
44,11.195,0.13607,17.97,16.96,-21.55,-22.28,4.87,0.15,0.59,0.73
45,10.903,0.08432,16.91,16.18,-21.26,-21.91,1.41,0.67,0.25,0.65
46,11.235,0.08872,16.1,15.37,-22.22,-22.82,3.65,0.5,0.53,0.6
47,10.629,0.08375,17.57,16.81,-20.62,-21.24,0.89,0.37,0.01,0.62
48,10.822,0.08298,17.3,16.42,-20.88,-21.6,1.45,0.38,0.06,0.72
49,11.497,0.13661,17.3,16.19,-22.31,-23.11,6.71,0.13,1.0,0.8
50,10.816,0.08629,17.29,16.46,-21.0,-21.67,5.3,0.72,0.75,0.67
51,9.554,0.04691,16.96,16.62,-19.75,-20.07,1.15,0.05,0.09,0.32
52,10.907,0.08371,17.19,16.28,-21.04,-21.78,5.29,0.39,0.91,0.74
53,10.807,0.07928,17.79,16.91,-20.31,-21.04,5.47,0.78,0.43,0.73
54,11.075,0.09413,17.25,16.27,-21.33,-22.09,4.39,0.27,0.7,0.76
55,10.994,0.09421,17.8,16.85,-20.77,-21.55,4.07,0.83,0.34,0.78
56,9.985,0.05754,16.84,16.4,-20.31,-20.73,0.97,0.4,0.11,0.42
57,11.232,0.13676,17.97,16.94,-21.6,-22.31,4.94,0.09,0.48,0.71
58,11.148,0.09665,17.01,16.01,-21.59,-22.39,6.65,0.0,1.0,0.8
59,10.749,0.08307,17.6,16.84,-20.54,-21.18,4.65,0.77,0.26,0.64
60,10.29,0.08068,17.45,16.87,-20.55,-21.06,1.25,0.0,0.17,0.51
61,10.954,0.12213,17.37,16.72,-21.7,-22.2,1.71,0.43,0.21,0.5
62,10.682,0.08438,17.86,16.93,-20.4,-21.14,5.25,0.37,0.5,0.74
63,10.614,0.08359,17.74,16.87,-20.46,-21.17,3.83,0.62,0.94,0.71
64,11.427,0.1595,17.61,16.58,-22.38,-23.05,4.79,0.12,0.58,0.67
65,10.927,0.08647,16.86,16.18,-21.36,-21.93,3.7,0.04,0.53,0.57
66,10.929,0.08616,17.07,16.25,-21.24,-21.87,3.61,0.47,0.38,0.63
67,11.03,0.08574,16.79,16.05,-21.42,-22.04,3.47,0.32,0.16,0.62
68,10.089,0.01868,15.01,14.45,-19.65,-20.17,0.58,0.42,0.69,0.52
69,10.474,0.08519,17.23,16.64,-20.9,-21.43,1.72,0.36,0.28,0.53
70,11.05,0.11805,16.88,16.18,-22.14,-22.67,3.85,0.0,0.57,0.53
71,11.314,0.11302,17.2,16.2,-21.84,-22.57,6.28,0.22,0.84,0.73
72,11.107,0.07477,16.54,15.73,-21.38,-22.08,4.13,0.55,0.98,0.7
73,10.714,0.08465,17.67,16.83,-20.58,-21.25,4.02,0.15,0.44,0.67
74,10.856,0.0829,17.68,16.77,-20.52,-21.27,7.27,0.29,0.45,0.75
75,10.923,0.06367,16.5,15.61,-21.05,-21.81,3.83,0.48,0.69,0.76
76,10.594,0.06395,16.73,16.11,-20.75,-21.3,1.14,0.5,0.08,0.55
77,11.03,0.08404,16.83,16.0,-21.4,-22.08,2.76,0.23,0.33,0.68
78,11.098,0.08755,17.12,16.16,-21.28,-22.03,3.81,0.43,0.66,0.75
79,10.628,0.08454,17.9,16.99,-20.39,-21.11,1.85,0.68,0.28,0.72
80,9.567,0.04089,16.93,16.55,-19.5,-19.84,0.99,0.31,0.52,0.34
81,10.914,0.08612,17.6,16.61,-20.76,-21.55,3.79,0.6,0.49,0.79
82,10.989,0.08449,16.5,15.75,-21.75,-22.34,6.63,0.34,0.7,0.59
83,10.477,0.08574,17.23,16.66,-20.98,-21.46,1.98,0.35,0.41,0.48
84,10.776,0.08508,17.42,16.55,-20.87,-21.56,5.32,0.18,0.8,0.69
85,11.295,0.10876,17.14,16.18,-21.82,-22.54,5.05,0.33,0.54,0.72
86,11.144,0.0854,16.23,15.54,-21.98,-22.57,2.3,0.23,0.19,0.59
87,10.469,0.08475,17.88,17.08,-20.38,-21.02,1.15,0.75,0.81,0.64
88,10.816,0.11787,17.44,16.82,-21.55,-22.01,1.07,0.12,0.86,0.46
89,10.842,0.08426,17.22,16.4,-20.99,-21.66,2.82,0.11,0.55,0.67
90,11.1,0.10939,17.56,16.53,-21.4,-22.17,6.92,0.17,0.99,0.77
91,10.81,0.11095,17.79,16.96,-21.11,-21.75,1.34,0.51,0.27,0.64
92,10.815,0.11051,17.18,16.58,-21.66,-22.14,1.41,0.12,0.06,0.48
93,11.064,0.15844,17.85,16.92,-22.08,-22.69,7.76,0.59,0.83,0.61
94,11.538,0.14184,17.48,16.38,-22.24,-22.99,8.0,0.3,0.71,0.75
95,11.068,0.0858,16.8,16.08,-21.45,-22.03,5.62,0.22,0.34,0.58
96,11.271,0.11135,17.06,16.09,-21.95,-22.66,6.46,0.33,0.84,0.71
97,11.01,0.08573,16.9,15.98,-21.4,-22.14,5.58,0.19,0.79,0.74
98,10.618,0.08475,17.74,16.84,-20.52,-21.24,2.27,0.65,0.56,0.72
99,10.617,0.08264,17.63,16.86,-20.54,-21.17,1.2,0.1,0.93,0.63
100,11.646,0.13907,17.0,15.85,-22.67,-23.48,6.11,0.2,0.92,0.81
101,9.919,0.03423,16.82,16.2,-19.23,-19.79,2.04,0.75,0.3,0.56
102,10.984,0.08399,17.37,16.39,-20.92,-21.7,3.44,0.68,0.41,0.78
103,11.102,0.13922,17.56,16.74,-21.92,-22.52,1.45,0.15,0.08,0.6
104,11.226,0.11576,17.45,16.43,-21.7,-22.45,4.57,0.13,0.66,0.75
105,10.876,0.11517,17.71,16.8,-21.38,-22.05,4.63,0.16,0.99,0.67
106,10.696,0.11552,17.32,16.72,-21.61,-22.09,1.08,0.14,0.13,0.48
107,10.336,0.083,17.39,16.84,-20.76,-21.21,0.97,0.36,0.0,0.45
108,10.181,0.04529,17.26,16.46,-19.48,-20.19,5.15,0.47,0.84,0.71
109,10.707,0.08391,17.32,16.57,-20.87,-21.5,1.68,0.07,0.1,0.63
110,10.592,0.08544,17.4,16.8,-20.77,-21.26,1.39,0.01,0.12,0.49
111,10.546,0.04453,16.09,15.38,-20.59,-21.25,1.2,0.77,0.19,0.66
112,10.526,0.08253,17.69,17.05,-20.44,-20.97,1.58,0.55,0.27,0.53
113,10.274,0.08305,16.75,16.3,-21.34,-21.74,0.5,0.23,0.58,0.4
114,11.153,0.10631,17.32,16.31,-21.61,-22.36,5.46,0.25,0.99,0.75
115,11.125,0.08507,17.01,16.08,-21.29,-22.05,3.31,0.2,0.48,0.76
116,10.369,0.05508,17.21,16.51,-19.98,-20.57,2.95,0.2,0.73,0.59
117,10.916,0.06727,16.65,15.74,-21.06,-21.81,4.85,0.14,0.64,0.75
118,10.473,0.07415,17.52,16.8,-20.38,-20.97,1.51,0.32,0.21,0.59
119,10.364,0.03732,16.31,15.62,-19.98,-20.59,0.79,0.44,0.33,0.61
120,11.106,0.11081,17.34,16.37,-21.69,-22.41,3.77,0.37,0.96,0.72
121,10.949,0.08674,16.84,16.06,-21.5,-22.12,1.86,0.46,0.15,0.62
122,11.368,0.14211,17.61,16.52,-22.12,-22.86,6.19,0.34,0.86,0.74
123,10.997,0.1415,17.39,16.63,-22.18,-22.71,2.0,0.35,0.44,0.53
124,10.428,0.07663,17.29,16.75,-20.63,-21.07,1.54,0.24,0.43,0.44
125,9.775,0.04689,16.57,16.12,-20.16,-20.59,6.73,0.29,0.56,0.43
126,9.652,0.07116,17.34,17.05,-20.34,-20.62,1.28,0.4,0.08,0.28
127,10.508,0.07093,17.49,16.65,-20.32,-21.02,5.84,0.08,0.97,0.7
128,9.386,0.01485,15.23,14.77,-18.93,-19.35,0.8,0.52,0.11,0.42
129,10.687,0.07086,16.88,16.25,-20.87,-21.41,1.81,0.29,0.2,0.54
130,10.767,0.08701,17.63,16.74,-20.71,-21.41,5.78,0.28,0.79,0.7
131,10.976,0.0856,17.14,16.25,-21.15,-21.86,7.01,0.36,0.88,0.71
132,11.249,0.08886,16.65,15.73,-21.74,-22.48,7.1,0.11,0.76,0.74
133,10.817,0.08755,17.38,16.57,-20.91,-21.59,1.79,0.12,0.48,0.68
134,10.793,0.08779,16.92,16.29,-21.36,-21.89,1.21,0.55,0.16,0.53
135,10.94,0.08865,17.37,16.5,-21.0,-21.7,5.71,0.63,0.24,0.7
136,11.02,0.08833,16.7,15.96,-21.62,-22.23,1.41,0.73,0.15,0.61
137,10.443,0.06865,17.67,16.84,-20.06,-20.76,3.22,0.0,0.42,0.7
138,11.16,0.08871,16.48,15.76,-21.84,-22.44,2.8,0.01,0.57,0.6
139,11.263,0.07649,16.31,15.4,-21.72,-22.47,4.24,0.32,0.5,0.75
140,10.68,0.07618,17.43,16.61,-20.57,-21.24,4.49,0.21,0.51,0.67
141,11.193,0.15052,17.85,17.02,-21.91,-22.5,2.77,0.49,0.4,0.59
142,10.802,0.07845,17.41,16.6,-20.69,-21.38,4.07,0.69,0.61,0.69
143,10.817,0.05509,16.32,15.43,-21.01,-21.74,2.61,0.4,0.32,0.73
144,10.041,0.04947,17.73,16.93,-19.3,-19.97,1.46,0.5,0.38,0.67
145,11.348,0.12513,16.83,15.94,-22.49,-23.13,5.13,0.11,0.64,0.64
146,10.806,0.08301,17.22,16.4,-21.02,-21.69,2.7,0.5,0.7,0.67
147,10.84,0.05524,16.0,15.28,-21.26,-21.87,2.03,0.3,0.37,0.61
148,10.973,0.07224,17.01,16.1,-20.84,-21.61,2.54,0.73,0.37,0.77
149,10.319,0.03501,16.14,15.36,-19.97,-20.67,4.78,0.22,0.69,0.7
150,9.658,0.05081,17.35,16.9,-19.53,-19.97,1.02,0.59,0.03,0.44
151,9.832,0.02486,15.44,15.01,-19.86,-20.2,1.34,0.46,0.08,0.34
152,10.759,0.07185,17.3,16.39,-20.54,-21.3,2.65,0.54,0.35,0.76
153,11.427,0.07079,15.75,14.83,-22.05,-22.83,5.14,0.12,0.61,0.78
154,10.831,0.06845,17.37,16.41,-20.36,-21.2,2.68,0.81,0.38,0.84
155,10.77,0.0713,17.57,16.6,-20.27,-21.1,4.7,0.66,0.98,0.83
156,11.256,0.11888,17.52,16.53,-21.66,-22.39,5.49,0.24,0.39,0.73
157,10.792,0.0699,16.83,16.03,-20.93,-21.61,2.35,0.2,0.29,0.68
158,10.996,0.07051,15.95,15.28,-21.8,-22.37,1.73,0.28,0.2,0.57
159,10.823,0.08392,17.67,16.76,-20.6,-21.32,5.0,0.44,0.49,0.72
160,11.51,0.15846,17.81,16.69,-22.27,-22.99,5.7,0.11,0.67,0.72
161,9.709,0.03461,17.67,16.99,-18.43,-19.05,0.74,0.28,0.0,0.62
162,10.68,0.07276,17.48,16.57,-20.43,-21.17,5.89,0.12,0.39,0.74
163,8.945,0.03027,17.35,17.0,-18.35,-18.68,0.67,0.74,0.01,0.33
164,10.09,0.0253,16.14,15.37,-19.21,-19.92,3.2,0.57,0.64,0.71
165,10.95,0.10345,17.81,16.92,-20.95,-21.64,4.56,0.04,0.41,0.69
166,11.53,0.15964,17.83,16.65,-22.23,-23.01,6.11,0.24,0.61,0.78
167,10.781,0.0727,17.16,16.3,-20.7,-21.42,4.79,0.17,0.39,0.72
168,11.64,0.15683,17.72,16.53,-22.31,-23.12,7.99,0.06,0.73,0.81
169,9.38,0.04305,17.2,16.88,-19.34,-19.63,1.43,0.43,0.1,0.29
170,9.892,0.04307,17.33,16.78,-19.21,-19.72,1.2,0.58,0.06,0.51
171,11.682,0.19195,18.09,16.86,-22.54,-23.31,7.29,0.13,0.56,0.77
172,9.859,0.02409,16.59,15.87,-18.65,-19.32,4.72,0.2,0.68,0.67
173,11.041,0.11245,17.78,16.78,-21.25,-22.0,4.26,0.74,0.59,0.75
174,10.848,0.07235,17.12,16.19,-20.75,-21.53,2.32,0.56,0.43,0.78
175,10.746,0.07168,17.3,16.41,-20.53,-21.29,4.0,0.48,0.99,0.76
176,11.186,0.11186,17.77,16.71,-21.29,-22.1,1.89,0.79,0.17,0.81
177,11.042,0.0778,16.38,15.66,-21.6,-22.21,4.77,0.34,0.39,0.61
178,11.291,0.11218,17.37,16.36,-21.65,-22.41,5.32,0.21,0.62,0.76
179,10.738,0.07207,16.84,15.99,-21.0,-21.7,5.33,0.06,0.97,0.7
180,10.596,0.06382,17.06,16.24,-20.45,-21.17,3.7,0.14,0.99,0.72
181,10.766,0.07244,16.93,16.15,-20.88,-21.57,2.22,0.74,0.44,0.69
182,10.332,0.07609,17.34,16.81,-20.55,-21.0,3.66,0.15,0.26,0.45
183,10.701,0.07518,17.21,16.49,-20.69,-21.32,7.98,0.36,0.65,0.63
184,10.629,0.07553,17.55,16.7,-20.41,-21.11,7.9,0.22,0.49,0.7
185,11.434,0.13626,17.69,16.69,-21.83,-22.59,8.0,0.12,0.44,0.76
186,10.559,0.0721,17.61,16.8,-20.21,-20.9,4.64,0.12,0.62,0.69
187,10.865,0.07189,17.29,16.35,-20.56,-21.34,5.17,0.47,0.44,0.78
188,8.609,0.01127,15.94,15.65,-17.6,-17.84,1.62,0.4,0.09,0.24
189,10.728,0.07012,16.75,15.89,-21.02,-21.75,4.19,0.6,0.64,0.73
190,9.743,0.04762,17.28,16.79,-19.5,-19.95,1.07,0.72,0.14,0.45
191,9.865,0.04787,17.47,16.92,-19.3,-19.82,3.42,0.37,0.78,0.52
192,10.704,0.08001,17.54,16.78,-20.51,-21.17,1.16,0.62,0.14,0.66
193,11.328,0.14271,17.85,16.72,-21.89,-22.68,5.75,0.22,0.99,0.79
194,11.509,0.1431,17.76,16.67,-21.98,-22.72,7.72,0.09,0.65,0.74
195,11.466,0.14198,17.78,16.7,-21.93,-22.69,6.51,0.01,0.47,0.76
196,10.8,0.0821,17.52,16.61,-20.68,-21.42,5.76,0.42,0.94,0.74
197,10.413,0.08934,17.16,16.63,-21.12,-21.56,1.73,0.45,0.92,0.44
198,9.354,0.02349,17.18,16.7,-18.02,-18.44,1.78,0.32,0.93,0.42
199,10.975,0.10393,17.47,16.73,-21.25,-21.85,3.07,0.31,0.24,0.6
200,9.619,0.02313,15.87,15.46,-19.29,-19.65,1.89,0.31,0.25,0.36
201,10.358,0.08021,17.53,16.95,-20.49,-21.0,1.03,0.52,0.07,0.51
202,11.289,0.08252,16.04,15.14,-22.16,-22.89,2.64,0.57,0.46,0.73
203,11.214,0.08211,16.05,15.28,-22.09,-22.72,1.51,0.52,0.18,0.63
204,10.813,0.08046,17.62,16.82,-20.49,-21.2,1.46,0.46,0.2,0.71
205,11.58,0.168,17.8,16.58,-22.46,-23.25,7.99,0.16,0.99,0.79
206,10.666,0.10682,17.48,16.83,-21.29,-21.82,3.61,0.37,0.41,0.53
207,10.859,0.08419,17.32,16.49,-20.91,-21.61,2.18,0.78,0.38,0.7
208,10.887,0.08413,17.28,16.47,-20.96,-21.62,3.6,0.15,0.8,0.66
209,11.186,0.08175,17.05,16.09,-21.17,-21.94,7.42,0.05,0.53,0.77
210,11.33,0.13952,17.66,16.59,-21.98,-22.72,4.16,0.44,0.44,0.74
211,10.804,0.08254,16.51,15.9,-21.61,-22.11,1.08,0.17,0.03,0.5
212,11.025,0.08329,17.44,16.48,-20.8,-21.58,5.9,0.32,0.54,0.78
213,10.165,0.08236,17.28,16.8,-20.81,-21.22,1.11,0.43,0.01,0.41
214,10.691,0.08377,17.64,16.91,-20.55,-21.16,7.95,0.0,0.7,0.61
215,10.525,0.07133,17.7,16.84,-20.13,-20.84,2.26,0.71,0.85,0.71
216,10.618,0.08479,17.68,16.91,-20.51,-21.17,0.9,0.72,0.02,0.66
217,10.916,0.08398,17.16,16.25,-21.1,-21.82,4.31,0.6,0.89,0.72
218,11.324,0.08352,16.18,15.23,-22.08,-22.84,4.52,0.12,0.87,0.76
219,11.369,0.08286,16.17,15.26,-22.06,-22.8,1.88,0.53,0.54,0.74
220,10.465,0.07705,17.45,16.77,-20.5,-21.08,1.91,0.71,0.23,0.58
221,10.253,0.02309,16.04,15.2,-19.15,-19.93,0.78,0.69,0.0,0.78
222,11.646,0.19269,18.04,16.84,-22.59,-23.33,5.43,0.1,0.59,0.74
223,9.471,0.04702,16.8,16.51,-19.87,-20.18,2.3,0.25,0.8,0.31
224,11.368,0.08045,16.19,15.25,-21.95,-22.71,4.48,0.32,0.62,0.76
225,10.681,0.06192,17.3,16.41,-20.18,-20.95,2.46,0.79,0.29,0.77
226,10.92,0.08457,16.87,16.08,-21.35,-22.0,2.21,0.44,0.38,0.65
227,11.661,0.08485,15.83,14.84,-22.47,-23.27,5.25,0.1,0.69,0.8
228,10.79,0.08494,17.77,16.81,-20.5,-21.28,6.1,0.4,0.88,0.78
229,10.952,0.08383,17.18,16.35,-21.01,-21.7,6.24,0.29,0.76,0.69
230,11.387,0.08437,16.13,15.19,-22.12,-22.88,5.45,0.2,0.9,0.76
231,10.658,0.08402,17.48,16.85,-20.64,-21.2,3.19,0.52,0.42,0.56
232,11.065,0.08414,16.95,16.04,-21.26,-22.02,2.66,0.42,0.26,0.76
233,9.117,0.01878,17.34,16.72,-17.35,-17.92,1.95,0.16,0.38,0.57
234,11.876,0.18836,17.57,16.36,-23.02,-23.8,5.12,0.32,0.49,0.78
235,10.482,0.0191,15.04,14.19,-19.69,-20.49,1.88,0.63,0.47,0.8
236,10.322,0.08221,17.5,16.89,-20.59,-21.1,0.93,0.42,0.01,0.51
237,10.922,0.0809,17.22,16.33,-20.9,-21.64,6.97,0.23,0.72,0.74
238,11.439,0.17773,17.87,16.84,-22.39,-23.08,1.28,0.36,0.36,0.69
239,10.975,0.08437,16.86,15.92,-21.29,-22.2,0.82,0.42,0.59,0.91
240,10.97,0.08473,16.97,16.03,-21.33,-22.1,0.82,0.42,0.53,0.77
241,11.014,0.08569,16.95,16.04,-21.35,-22.07,6.83,0.0,0.76,0.72
242,10.867,0.08637,17.62,16.72,-20.68,-21.43,4.74,0.51,0.91,0.75
243,11.403,0.08639,16.45,15.47,-21.89,-22.68,2.88,0.48,0.35,0.79
244,10.996,0.08063,17.14,16.28,-21.01,-21.68,5.04,0.26,0.36,0.67
245,10.539,0.07399,17.38,16.73,-20.43,-21.06,0.8,0.45,0.83,0.63
246,10.813,0.08582,17.8,16.86,-20.5,-21.26,4.12,0.51,0.43,0.76
247,11.487,0.13872,17.48,16.35,-22.17,-22.96,7.81,0.38,0.94,0.79
248,10.849,0.08506,17.51,16.6,-20.77,-21.5,3.68,0.43,0.52,0.73
249,10.795,0.08242,17.39,16.61,-20.75,-21.41,3.81,0.11,0.32,0.66
250,9.608,0.01864,16.84,16.1,-17.84,-18.53,1.95,0.7,0.23,0.69
251,11.056,0.08449,16.63,15.62,-21.66,-22.47,6.29,0.2,1.0,0.81
252,10.748,0.08266,17.61,16.7,-20.6,-21.34,3.7,0.03,0.35,0.74
253,10.059,0.08399,17.4,16.98,-20.67,-21.03,1.12,0.16,0.1,0.36
254,10.913,0.08882,17.67,16.7,-20.74,-21.5,3.26,0.57,0.37,0.76
255,10.779,0.08165,17.47,16.66,-20.65,-21.33,6.2,0.41,0.55,0.68
256,10.68,0.09126,17.64,16.93,-20.75,-21.34,2.18,0.32,0.66,0.59
257,11.199,0.09388,16.56,15.89,-21.86,-22.4,3.73,0.33,0.29,0.54
258,10.817,0.08177,17.39,16.47,-20.81,-21.55,4.93,0.13,0.49,0.74
259,10.196,0.08589,17.22,16.77,-20.9,-21.27,1.24,0.13,0.57,0.37
260,10.408,0.08555,16.93,16.43,-21.21,-21.65,0.87,0.22,0.48,0.44
261,10.423,0.08189,17.33,16.68,-20.75,-21.29,0.81,0.18,0.03,0.54
262,11.093,0.08579,16.86,15.98,-21.44,-22.14,3.53,0.37,0.4,0.7
263,10.716,0.11027,17.4,16.72,-21.48,-22.0,3.19,0.09,0.85,0.52
264,10.773,0.08095,17.22,16.48,-20.87,-21.49,2.17,0.49,0.42,0.62
265,10.952,0.08828,17.5,16.54,-20.91,-21.67,6.57,0.26,0.78,0.76
266,10.576,0.08124,16.73,16.18,-21.33,-21.78,1.16,0.42,0.75,0.45
267,10.56,0.0849,17.63,16.94,-20.57,-21.14,2.15,0.3,0.32,0.57
268,11.132,0.08594,16.78,15.83,-21.53,-22.32,3.78,0.33,0.6,0.79
269,10.923,0.0847,17.38,16.45,-20.89,-21.65,5.92,0.28,0.81,0.76
270,10.77,0.08895,17.8,16.92,-20.56,-21.29,2.27,0.69,0.4,0.73
271,10.668,0.08449,17.55,16.69,-20.7,-21.39,4.39,0.23,0.84,0.69
272,10.98,0.1098,17.84,16.88,-21.12,-21.84,7.97,0.21,0.63,0.72
273,11.218,0.10785,17.88,16.8,-21.07,-21.92,4.18,0.62,0.6,0.85
274,11.314,0.10678,16.61,15.6,-22.26,-23.12,4.83,0.18,0.53,0.86
275,11.634,0.10846,16.16,15.13,-22.77,-23.55,4.69,0.14,0.68,0.78
276,10.981,0.10729,17.69,16.66,-21.2,-22.0,4.84,0.18,0.96,0.8
277,10.933,0.11039,17.59,16.67,-21.35,-22.05,3.23,0.51,0.31,0.7
278,10.87,0.08403,17.53,16.58,-20.72,-21.49,5.39,0.31,0.86,0.77
279,11.067,0.10899,17.73,16.87,-21.14,-21.86,6.39,0.55,0.79,0.72
280,10.941,0.11003,17.81,16.84,-21.15,-21.88,3.82,0.48,0.68,0.73
281,10.874,0.1032,17.79,16.86,-20.97,-21.7,2.88,0.66,0.86,0.73
282,11.368,0.10842,17.16,16.11,-21.78,-22.59,2.74,0.33,0.59,0.81
283,10.749,0.07819,17.49,16.56,-20.58,-21.36,3.49,0.59,0.82,0.78
284,10.471,0.0455,15.94,15.32,-20.75,-21.31,1.18,0.51,0.17,0.56
285,10.728,0.09332,17.38,16.69,-21.07,-21.62,3.98,0.47,0.54,0.55
286,10.97,0.09485,17.52,16.71,-21.01,-21.66,7.96,0.37,0.42,0.65
287,10.252,0.06326,17.64,16.9,-19.87,-20.51,3.54,0.36,0.26,0.64
288,10.717,0.0991,17.42,16.8,-21.12,-21.63,2.08,0.01,0.42,0.51
289,10.975,0.0549,16.31,15.4,-20.9,-21.68,4.38,0.31,0.7,0.78
290,10.229,0.05573,16.73,16.08,-20.47,-21.03,3.51,0.16,0.75,0.56
291,10.687,0.05464,16.16,15.49,-20.98,-21.56,1.76,0.24,0.19,0.58
292,9.949,0.05514,17.39,16.83,-19.76,-20.25,3.45,0.54,0.45,0.49
293,11.071,0.08587,16.95,16.02,-21.36,-22.11,4.92,0.32,0.6,0.75
294,9.847,0.04316,17.06,16.57,-19.5,-19.95,1.03,0.16,0.92,0.45
295,10.352,0.07531,17.18,16.65,-20.69,-21.15,1.66,0.19,0.2,0.46
296,10.274,0.04847,17.69,16.82,-19.22,-20.01,1.23,0.81,0.13,0.79
297,11.098,0.10277,17.66,16.63,-21.15,-21.95,6.38,0.24,1.0,0.8
298,11.383,0.13299,17.54,16.56,-21.94,-22.67,2.6,0.24,0.3,0.73
299,10.999,0.10278,17.27,16.47,-21.42,-22.06,2.28,0.38,0.3,0.64
300,10.71,0.08717,17.25,16.55,-21.02,-21.59,1.37,0.38,0.17,0.57
301,11.722,0.16848,17.46,16.27,-22.81,-23.55,5.2,0.26,0.47,0.74
302,11.327,0.14434,17.76,16.64,-22.02,-22.78,4.66,0.06,0.95,0.76
303,10.841,0.10306,17.89,16.98,-20.91,-21.6,4.45,0.42,0.58,0.69
304,11.185,0.11448,17.68,16.68,-21.4,-22.17,2.22,0.71,0.32,0.77
305,10.934,0.11351,17.75,16.88,-21.25,-21.94,1.27,0.5,0.17,0.69
306,11.019,0.08641,16.4,15.73,-21.84,-22.41,5.04,0.49,0.46,0.57
307,10.954,0.08708,17.38,15.83,-20.97,-22.34,4.17,0.37,0.33,1.37
308,8.704,0.02242,16.51,16.19,-18.57,-18.83,2.69,0.56,0.73,0.26
309,10.904,0.08905,17.29,16.34,-21.13,-21.88,5.99,0.49,0.86,0.75
