,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
186342,11.263,0.10463,17.23,16.27,-21.61,-22.33,4.05,0.43,0.48,0.72
186343,10.507,0.04806,17.07,16.29,-19.77,-20.47,6.55,0.09,0.49,0.7
186344,10.289,0.04795,17.31,16.45,-19.55,-20.3,7.99,0.37,1.0,0.75
186345,10.754,0.10934,17.09,16.47,-21.69,-22.21,0.96,0.18,0.03,0.52
186346,10.832,0.07677,17.52,16.56,-20.5,-21.3,2.56,0.67,0.34,0.8
186347,11.229,0.10974,17.32,16.32,-21.64,-22.4,4.51,0.21,0.59,0.76
186348,11.934,0.24614,18.24,16.79,-23.24,-24.03,5.04,0.43,0.53,0.79
186349,9.764,0.02332,16.78,16.05,-18.4,-19.07,1.74,0.43,0.35,0.67
186350,11.033,0.11107,17.05,16.36,-21.81,-22.34,3.27,0.14,0.55,0.53
186351,11.088,0.10014,17.06,16.12,-21.64,-22.36,6.89,0.04,0.96,0.72
186352,9.935,0.02144,16.5,15.71,-18.51,-19.24,2.4,0.04,0.26,0.73
186353,9.206,0.03305,16.68,16.4,-19.24,-19.49,2.84,0.49,0.47,0.25
186354,10.382,0.02449,15.32,14.53,-19.98,-20.7,2.67,0.46,0.33,0.72
186355,9.738,0.0233,16.72,16.0,-18.46,-19.12,2.69,0.46,0.52,0.66
186356,11.04,0.124,17.83,16.81,-21.45,-22.21,3.97,0.82,0.7,0.76
186357,11.079,0.11129,17.14,16.39,-21.76,-22.33,1.2,0.52,0.17,0.57
186358,9.605,0.02311,16.99,16.31,-18.16,-18.79,1.92,0.51,0.42,0.63
186359,11.471,0.15124,17.79,16.64,-22.1,-22.89,6.42,0.23,0.89,0.79
186360,11.302,0.06264,15.58,14.71,-21.92,-22.65,4.58,0.07,0.69,0.73
186361,11.096,0.11309,17.81,16.8,-21.24,-22.0,6.11,0.16,0.93,0.76
186362,10.91,0.1037,17.77,16.81,-21.02,-21.75,6.32,0.2,0.75,0.73
186363,11.215,0.10167,17.41,16.43,-21.34,-22.11,2.65,0.56,0.32,0.77
186364,11.001,0.1237,17.73,16.87,-21.49,-22.12,3.47,0.38,0.56,0.63
186365,10.946,0.10157,17.57,16.73,-21.09,-21.77,1.16,0.5,0.05,0.68
186366,9.788,0.04699,16.8,16.4,-19.91,-20.27,1.36,0.53,0.1,0.36
186367,11.133,0.11787,16.83,16.14,-22.22,-22.75,2.12,0.37,0.23,0.53
186368,10.855,0.07455,17.22,16.31,-20.72,-21.47,3.42,0.5,0.38,0.75
186369,11.633,0.16212,17.43,16.22,-22.66,-23.49,4.26,0.17,0.99,0.83
186370,10.952,0.07494,17.34,16.41,-20.61,-21.39,3.99,0.47,0.62,0.78
186371,10.413,0.06061,17.55,16.71,-19.86,-20.57,3.28,0.4,0.38,0.71
186372,11.578,0.12452,16.72,15.7,-22.57,-23.31,5.33,0.21,0.75,0.74
186373,11.067,0.04234,15.48,14.61,-21.07,-21.85,4.05,0.28,0.59,0.78
186374,10.911,0.11839,17.8,16.92,-21.28,-21.96,5.26,0.3,0.8,0.68
186375,11.215,0.1183,17.53,16.66,-21.48,-22.19,6.26,0.19,0.29,0.71
186376,8.545,0.00816,17.15,16.52,-15.68,-16.27,2.8,0.38,0.33,0.59
186377,11.062,0.08418,16.36,15.67,-21.78,-22.37,3.35,0.17,0.41,0.59
186378,11.15,0.12778,17.47,16.56,-21.86,-22.52,4.32,0.39,0.59,0.66
186379,11.34,0.12814,17.43,16.42,-21.95,-22.67,5.11,0.34,0.55,0.72
186380,11.11,0.12468,17.29,16.55,-21.89,-22.44,3.05,0.36,0.32,0.55
186381,11.189,0.12003,17.21,16.39,-21.91,-22.52,2.35,0.17,0.53,0.61
186382,10.966,0.0736,16.66,15.78,-21.24,-21.96,5.31,0.05,0.84,0.72
186383,10.705,0.07254,17.41,16.54,-20.44,-21.17,3.24,0.17,0.52,0.73
186384,11.193,0.14837,17.46,16.62,-22.26,-22.81,7.99,0.26,0.74,0.55
186385,11.206,0.12048,17.69,16.75,-21.44,-22.21,2.46,0.78,0.39,0.77
186386,11.361,0.12613,17.28,16.3,-22.04,-22.74,5.39,0.25,0.54,0.7
186387,11.008,0.08225,17.21,16.35,-20.93,-21.64,7.99,0.11,0.52,0.71
186388,10.409,0.08202,17.21,16.69,-20.83,-21.27,1.84,0.06,0.34,0.44
186389,10.745,0.12736,17.64,16.96,-21.53,-22.05,0.72,0.21,0.0,0.52
186390,11.076,0.11237,17.92,16.91,-21.1,-21.86,6.07,0.26,0.69,0.76
186391,10.192,0.0506,17.56,16.79,-19.39,-20.07,4.19,0.21,0.66,0.68
186392,10.934,0.12727,17.45,16.75,-21.7,-22.25,5.08,0.59,0.38,0.55
186393,10.524,0.05905,17.27,16.45,-20.04,-20.77,5.64,0.33,0.66,0.73
186394,11.323,0.12931,17.79,16.66,-21.6,-22.49,7.93,0.41,0.81,0.89
186395,11.211,0.0777,16.65,15.71,-21.37,-22.16,3.68,0.42,0.48,0.79
186396,10.436,0.08564,16.49,16.05,-21.58,-21.96,1.3,0.16,0.19,0.38
186397,10.86,0.04051,15.56,14.73,-20.85,-21.6,4.83,0.35,0.53,0.75
186398,11.322,0.15833,17.16,16.33,-22.66,-23.23,3.02,0.2,0.27,0.57
186399,10.557,0.07925,17.54,16.82,-20.43,-21.07,1.49,0.42,0.4,0.64
186400,11.292,0.13341,17.6,16.54,-21.87,-22.66,5.0,0.44,0.81,0.79
186401,11.13,0.13216,17.57,16.83,-21.75,-22.28,4.72,0.38,0.45,0.53
186402,10.839,0.08681,17.36,16.45,-20.93,-21.66,3.15,0.59,0.95,0.73
186403,10.894,0.08133,16.33,15.75,-21.68,-22.17,2.38,0.25,0.22,0.49
186404,11.351,0.13086,17.53,16.52,-21.87,-22.6,6.08,0.15,0.77,0.73
186405,10.713,0.08677,17.76,16.85,-20.53,-21.27,4.66,0.48,0.89,0.74
186406,10.98,0.08602,16.83,16.12,-21.35,-21.96,1.59,0.68,0.27,0.61
186407,11.204,0.11499,17.62,16.57,-21.44,-22.24,5.3,0.75,0.7,0.8
186408,10.221,0.09804,17.39,16.93,-21.05,-21.42,1.17,0.14,0.19,0.37
186409,11.476,0.15953,17.71,16.56,-22.31,-23.08,6.25,0.27,0.98,0.77
186410,11.389,0.0967,16.33,15.37,-22.25,-23.0,5.68,0.06,0.77,0.75
